ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,payload_entropy,orig_payload_len,has_uri_payload,label
1780957249.273468,Cea5563aeb729,192.168.60.1,53206,192.168.60.5,110,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.2735,Cd4622f82d3b5,192.168.60.1,49668,192.168.60.6,139,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.273534,C13cf31ae05d6,192.168.60.1,47748,192.168.60.7,1025,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.273566,C6c3eb47efe3b,192.168.60.1,54592,192.168.60.5,1025,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.273598,C95e9cf182c08,192.168.60.1,54848,192.168.60.6,587,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.273633,Cf14a65c48995,192.168.60.1,32980,192.168.60.7,139,tcp,1.4e-05,0,0,1,1,0.0,0,0,-1
1780957249.273667,Cadae69cea47b,192.168.60.1,56152,192.168.60.5,139,tcp,3.4e-05,0,0,1,1,0.0,0,0,-1
1780957249.273772,Cf70a4cb79e80,192.168.60.1,38120,192.168.60.6,3389,tcp,1.6e-05,0,0,1,1,0.0,0,0,-1
1780957249.273812,C8c863c8b4338,192.168.60.1,57262,192.168.60.7,587,tcp,1.3e-05,0,0,1,1,0.0,0,0,-1
1780957249.273847,Cd7d8025eb1a3,192.168.60.1,40112,192.168.60.5,587,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.273881,C8954e3f762d7,192.168.60.1,32934,192.168.60.6,993,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.273915,Ccc3961678cf7,192.168.60.1,45938,192.168.60.7,3389,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.273956,Ceb136a006f33,192.168.60.1,57732,192.168.60.5,3389,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.273992,C01886758646a,192.168.60.1,55844,192.168.60.6,80,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.274025,C27116754c8fa,192.168.60.1,54368,192.168.60.7,993,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.274058,Cd2cd3e742407,192.168.60.1,47712,192.168.60.5,993,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274091,C868ad267a2fd,192.168.60.1,41812,192.168.60.6,5900,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274124,C6a0d46d8abc8,192.168.60.1,48032,192.168.60.7,80,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274268,Cb7137eb090ea,192.168.60.1,34372,192.168.60.7,5900,tcp,1.4e-05,0,0,1,1,0.0,0,0,-1
1780957249.274305,Cd30b00f61afd,192.168.60.1,44370,192.168.60.5,80,tcp,0.001381,0,0,3,1,0.0,0,0,-1
1780957249.274349,Cef456b5a5bfb,192.168.60.1,59064,192.168.60.6,3306,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274383,C023827143733,192.168.60.1,52326,192.168.60.7,3306,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274417,C021299857507,192.168.60.1,41200,192.168.60.5,5900,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.27445,C6ac237514dd3,192.168.60.1,59172,192.168.60.6,1720,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.274482,Ce8ffec7a99ee,192.168.60.1,58830,192.168.60.7,1720,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.274514,C7f6da2120b9f,192.168.60.1,53980,192.168.60.5,3306,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274547,C8ea885176e1b,192.168.60.1,45780,192.168.60.6,21,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
